C1903TS003_1 C1903TS003_2 C1903TS003_3 C1903TS044_1 C1903TS066_1 C1903TS067_1 C1903TS067_2 C1903TS067_3 C1903TS067_4 C1903TS067_5 C1903TS073_1 C1903TS073_2 C1903TS073_3 C1903TS073_4 C1903TS073_5 C1903TS087_1 C1903TS087_2 C1903TS087_3 C1903TS102_1 C1903TS103_1 C1903TS103_2 C1903TS123_1 C1903TS123_2 C1903TS123_3 C1903TS123_4 C1903TS123_5 C1903TS131_1 C1903TS131_2 C1903TS131_3 C1903TS131_4 C1903TS131_5 C1903TS152_1 C1903TS152_2 C1903TS152_3 C1903TS152_4 C1903TS152_5 C1903TS156_1 C1903TS156_2 C1903TS156_3 C1903TS156_4 C1903TS156_5 C1903TS158_1 C1903TS158_2 C1903TS158_3 C1903TS158_4 C1903TS158_5 C1903TS182_1 C1903TS182_2 C1903TS182_3 C1903TS182_4 C1903TS182_5 C1903TS196_1 C1903TS200_1 C1903TS210_1 C1903TS210_2 C1903TS210_3 C1903TS210_4 C1903TS210_5 C1903TS211_1 C1903TS211_2 C1903TS211_3 C1903TS211_4 C1903TS211_5 C1903TS213_1 C1903TS213_2 C1903TS213_3 C1903TS213_4 C1903TS213_5 C1903TS215_1 C1903TS215_2 C1903TS215_3 C1903TS215_4 C1903TS215_5 C1903TS228_1 C1903TS230_1 C1903TS230_2 C1903TS230_3 C1903TS230_4 C1903TS230_5 C1903TS240_1 C1903TS240_2 C1903TS240_3 C1903TS240_4 C1903TS240_5 C1903TS247_1 C1903TS247_2 C1903TS247_3 C1903TS247_4 C1903TS247_5 C1903TS258_1 C1903TS258_2 C1903TS258_3 C1903TS258_4 C1903TS258_5 C1903TS270_1 C1903TS273_1 C1903TS273_2 C1903TS273_3 C1903TS273_4 C1903TS273_5 C1903TS278_1 C1903TS278_2 C1903TS278_3 C1903TS278_4 C1903TS278_5 C1903TS299_1 C1903TS299_2 C1903TS299_3 C1903TS299_4 C1903TS299_5 C1903TS301_1 C1903TS309_1 C1903TS309_2 C1903TS309_3 C1903TS309_4 C1903TS309_5 C1903TS347_1 C1903TS359_1 C1903TS369_1 C1903TS369_2 C1903TS369_3 C1903TS369_4 C1903TS369_5 C1903TS389_1 C1903TS389_2 C1903TS389_3 C1903TS389_4 C1903TS389_5 C1903TS401_1 C1903TS404_1 C1903TS404_2 C1903TS404_3 C1903TS404_4 C1903TS404_5 C1903TS405_1 C1903TS405_2 C1903TS405_3 C1903TS405_4 C1903TS405_5 C1903TS413_1 C1903TS413_2 C1903TS413_3 C1903TS413_4 C1903TS413_5 C1903TS414_1 C1903TS414_2 C1903TS414_3 C1903TS414_4 C1903TS414_5 C1903TS438_1 C1903TS438_2 C1903TS438_3 C1903TS438_4 C1903TS438_5
1 0.316216 0.332679 0.365836 0.345418 0.30944 0.30944 0.343113 0.345791 0.314986 0.335713 0.354799 0.316099 0.33434 0.330487 0.379857 0.376298 0.389953 0.308976 0.34908 0.308976 0.344164 0.353227 0.341983 0.339266 0.339266 0.373704 0.368394 0.368573 0.370094 0.371655 0.389543 0.390372 0.372448 0.3261 0.318054 0.367514 0.376726 0.366687 0.367473 0.366488 0.321176 0.248537 0.33143 0.330631 0.24923 0.363565 0.26744 0.366308 0.279836 0.363385 0.365908 0.288109 0.352773 0.352962 0.364791 0.35986 0.360966 0.387952 0.348564 0.32605 0.323953 0.327301 0.369851 0.365618 0.36902 0.364863 0.365957 0.359146 0.35237 0.350784 0.362647 0.349641 0.366684 0.327728 0.353264 0.346492 0.357605 0.351548 0.382852 0.3906 0.383121 0.383203 0.387176 0.377644 0.367942 0.368429 0.367358 0.354731 0.33271 0.337252 0.341637 0.332269 0.336069 0.364833 0.326404 0.330405 0.327885 0.278861 0.259459 0.369773 0.378673 0.369504 0.374609 0.376051 0.369773 0.378673 0.369504 0.374609 0.376051 0.365836 0.367087 0.349349 0.359199 0.365686 0.347582 0.314536 0.348913 0.37993 0.375745 0.359947 0.381442 0.362648 0.381311 0.369673 0.290577 0.323891 0.331028 0.35319 0.350775 0.351991 0.356618 0.35882 0.348868 0.35986 0.364621 0.36104 0.354626 0.377378 0.382238 0.383869 0.389296 0.39382 0.394191 0.379421 0.381704 0.388323 0.376481 0.381635 0.37214 0.379848 0.374726 0.376122 0.371829
0.345836 1 0.340801 0.374409 0.384153 0.336604 0.336604 0.366632 0.367416 0.348523 0.344689 0.341288 0.356832 0.356895 0.360739 0.37844 0.392014 0.382916 0.32951 0.340983 0.32951 0.355834 0.378391 0.373517 0.361794 0.361794 0.390972 0.386023 0.390634 0.386425 0.389865 0.385199 0.395826 0.377631 0.361765 0.358832 0.371598 0.374417 0.373534 0.368257 0.367321 0.346365 0.273019 0.365638 0.359347 0.259316 0.405358 0.297293 0.407118 0.313199 0.398603 0.3804 0.276613 0.37227 0.368049 0.366317 0.369412 0.374261 0.400114 0.368022 0.367451 0.354041 0.353904 0.373404 0.376756 0.371084 0.373317 0.379533 0.376268 0.377184 0.376376 0.371607 0.367035 0.376611 0.360408 0.379436 0.384299 0.373652 0.37136 0.401911 0.39678 0.400084 0.397454 0.394695 0.380444 0.362622 0.372876 0.371924 0.375258 0.353992 0.359162 0.345821 0.343253 0.344444 0.384567 0.358202 0.360986 0.365415 0.306131 0.274414 0.361801 0.372426 0.384134 0.373957 0.371761 0.361801 0.372426 0.384134 0.373957 0.371761 0.374409 0.3758 0.362405 0.372347 0.371663 0.352472 0.352574 0.371481 0.38064 0.381129 0.381024 0.381993 0.381271 0.38427 0.392909 0.323351 0.358339 0.354627 0.351694 0.392318 0.389762 0.396029 0.388932 0.393277 0.369412 0.369068 0.374183 0.365481 0.393674 0.394161 0.388984 0.382868 0.396563 0.392214 0.392595 0.402806 0.403867 0.396346 0.404122 0.380648 0.376223 0.380932 0.379085 0.382599
0.331246 0.293801 1 0.346835 0.332699 0.318509 0.318509 0.330165 0.334922 0.305369 0.313469 0.329656 0.319975 0.317222 0.321821 0.367132 0.364821 0.366024 0.304422 0.33874 0.304422 0.345423 0.348148 0.339736 0.342349 0.342349 0.345127 0.348129 0.343008 0.35039 0.352861 0.358531 0.365737 0.348588 0.338616 0.301699 0.353777 0.362045 0.348317 0.35173 0.348281 0.324175 0.215596 0.339021 0.332129 0.258316 0.345479 0.266107 0.346214 0.276006 0.335235 0.334512 0.275983 0.345925 0.345488 0.346922 0.337212 0.354488 0.363445 0.32256 0.337791 0.316111 0.337496 0.352436 0.347466 0.347433 0.347082 0.352612 0.338203 0.346027 0.338583 0.350738 0.332938 0.348735 0.344128 0.359261 0.356517 0.351926 0.361724 0.351604 0.360168 0.361003 0.349021 0.351605 0.352732 0.352682 0.346848 0.349274 0.348008 0.314521 0.314856 0.31527 0.320361 0.32127 0.358993 0.336422 0.341702 0.344288 0.252783 0.256807 0.343526 0.347517 0.345218 0.350179 0.346399 0.343526 0.347517 0.345218 0.350179 0.346399 0.346835 0.345919 0.345619 0.345181 0.356788 0.338937 0.314561 0.342138 0.36318 0.365166 0.342756 0.360207 0.359665 0.349139 0.360144 0.300919 0.303782 0.33538 0.329895 0.349976 0.350621 0.348719 0.357079 0.346588 0.337212 0.350387 0.354414 0.333913 0.35011 0.361155 0.357063 0.358613 0.367631 0.366275 0.362191 0.361518 0.375391 0.354782 0.36485 0.354313 0.350125 0.354193 0.364578 0.362588
0.277139 0.245404 0.258072 1 0.325677 0.287344 0.287344 0.311699 0.314729 0.243469 0.312395 0.314019 0.306158 0.298446 0.333099 0.441538 0.439267 0.444173 0.302509 0.292355 0.302509 0.356567 0.345451 0.353536 0.310952 0.310952 0.427749 0.43483 0.430072 0.428852 0.430442 0.441015 0.451206 0.388737 0.335464 0.318131 0.417367 0.422153 0.410535 0.417195 0.412623 0.306459 0.151686 0.32249 0.320904 0.173682 0.360742 0.221104 0.363974 0.227584 0.348995 0.423704 0.268328 0.43159 0.40521 0.446681 0.399895 0.405696 0.433396 0.314795 0.34855 0.330996 0.338266 0.843053 0.836048 0.838798 0.836625 0.830851 0.519725 0.473493 0.494122 0.50313 0.492588 0.811695 0.334809 0.359968 0.360786 0.34979 0.354082 0.42888 0.426151 0.423894 0.418999 0.425543 0.39187 0.392084 0.370722 0.381777 0.368172 0.315609 0.310665 0.297073 0.315526 0.309984 0.406491 0.337854 0.34029 0.33909 0.217912 0.198913 0.416713 0.419623 0.427157 0.426255 0.426861 0.416713 0.419623 0.427157 0.426255 0.426861 1 0.401899 0.368495 0.398573 0.406902 0.368425 0.30553 0.412604 0.412957 0.413975 0.348963 0.421004 0.413 0.371572 0.375011 0.222538 0.311596 0.309201 0.394607 0.352476 0.363124 0.358072 0.353468 0.358373 0.399895 0.38642 0.405763 0.394068 0.439346 0.434451 0.429936 0.440649 0.424509 0.446922 0.426359 0.420859 0.425812 0.436576 0.431991 0.404285 0.40884 0.405511 0.406647 0.411024
0.328862 0.331355 0.316336 0.412765 1 0.329237 0.329237 0.345653 0.350815 0.298268 0.34665 0.366418 0.341782 0.343914 0.343081 0.425977 0.43018 0.437394 0.327335 0.333044 0.327335 0.377566 0.381147 0.380341 0.352948 0.352948 0.418352 0.41532 0.410333 0.420671 0.421511 0.43788 0.45411 0.411121 0.342822 0.334283 0.397465 0.403715 0.395627 0.396514 0.398619 0.354401 0.20612 0.360069 0.355273 0.195409 0.399359 0.241221 0.396776 0.253645 0.390785 0.414741 0.280072 0.401904 0.394735 0.401403 0.389539 0.393553 0.436025 0.336946 0.366122 0.342967 0.344477 0.414288 0.411235 0.414553 0.409376 0.406102 0.378029 0.398919 0.390031 0.374573 0.378125 0.409773 0.354821 0.377395 0.375653 0.365907 0.366732 0.42309 0.439152 0.433767 0.432396 0.436308 0.404271 0.396589 0.384155 0.402918 0.389553 0.327 0.342174 0.335836 0.317242 0.330633 0.416919 0.347864 0.346921 0.350173 0.251745 0.227342 0.410865 0.424124 0.418631 0.420724 0.420901 0.410865 0.424124 0.418631 0.420724 0.420901 0.412765 0.41699 0.390406 0.405452 0.419806 0.379284 0.331774 0.404954 0.418742 0.422134 0.375611 0.414869 0.42069 0.38349 0.40298 0.289876 0.333376 0.357745 0.379765 0.384143 0.384023 0.383153 0.377821 0.384446 0.389539 0.406932 0.39348 0.383814 0.420331 0.429532 0.426109 0.442179 0.446997 0.448038 0.440699 0.438572 0.442707 0.429205 0.447604 0.416929 0.414828 0.416657 0.412044 0.417176
0.227518 0.216747 0.228936 0.281653 0.257822 1 1 0.310471 0.311033 0.261215 0.23511 0.229233 0.220311 0.231048 0.227382 0.296055 0.283929 0.28831 0.25717 0.259503 0.25717 0.276239 0.283536 0.277269 0.261816 0.261816 0.283733 0.279774 0.277537 0.282705 0.283522 0.30527 0.309478 0.276206 0.260215 0.248053 0.28497 0.278753 0.278707 0.281951 0.277723 0.261187 0.154837 0.271861 0.280057 0.150099 0.29797 0.195121 0.297447 0.194359 0.286334 0.28282 0.206721 0.285902 0.285478 0.288593 0.284593 0.283806 0.293441 0.270734 0.257851 0.25083 0.259329 0.2817 0.287029 0.289494 0.282998 0.285398 0.27682 0.280104 0.261128 0.275564 0.275699 0.281028 0.260073 0.281146 0.268541 0.276161 0.274707 0.281143 0.281264 0.274665 0.280226 0.287271 0.283978 0.266729 0.260019 0.271138 0.266193 0.251121 0.243991 0.242445 0.236598 0.240302 0.300648 0.26044 0.262675 0.264147 0.182514 0.185138 0.283668 0.286104 0.285444 0.29247 0.282617 0.283668 0.286104 0.285444 0.29247 0.282617 0.281653 0.282614 0.271478 0.284014 0.282051 0.263276 0.26804 0.283141 0.293047 0.302852 0.273093 0.293971 0.298291 0.266795 0.279065 0.214159 0.242357 0.272365 0.26833 0.274424 0.271754 0.279276 0.275265 0.274348 0.284486 0.273899 0.283791 0.280148 0.296697 0.299392 0.301699 0.308904 0.303282 0.30355 0.290118 0.292213 0.299463 0.293163 0.290018 0.284052 0.283386 0.27527 0.279138 0.281822
0.227518 0.216747 0.228936 0.281653 0.257822 1 1 0.310471 0.311033 0.261215 0.23511 0.229233 0.220311 0.231048 0.227382 0.296055 0.283929 0.28831 0.25717 0.259503 0.25717 0.276239 0.283536 0.277269 0.261816 0.261816 0.283733 0.279774 0.277537 0.282705 0.283522 0.30527 0.309478 0.276206 0.260215 0.248053 0.28497 0.278753 0.278707 0.281951 0.277723 0.261187 0.154837 0.271861 0.280057 0.150099 0.29797 0.195121 0.297447 0.194359 0.286334 0.28282 0.206721 0.285902 0.285478 0.288593 0.284593 0.283806 0.293441 0.270734 0.257851 0.25083 0.259329 0.2817 0.287029 0.289494 0.282998 0.285398 0.27682 0.280104 0.261128 0.275564 0.275699 0.281028 0.260073 0.281146 0.268541 0.276161 0.274707 0.281143 0.281264 0.274665 0.280226 0.287271 0.283978 0.266729 0.260019 0.271138 0.266193 0.251121 0.243991 0.242445 0.236598 0.240302 0.300648 0.26044 0.262675 0.264147 0.182514 0.185138 0.283668 0.286104 0.285444 0.29247 0.282617 0.283668 0.286104 0.285444 0.29247 0.282617 0.281653 0.282614 0.271478 0.284014 0.282051 0.263276 0.26804 0.283141 0.293047 0.302852 0.273093 0.293971 0.298291 0.266795 0.279065 0.214159 0.242357 0.272365 0.26833 0.274424 0.271754 0.279276 0.275265 0.274348 0.284486 0.273899 0.283791 0.280148 0.296697 0.299392 0.301699 0.308904 0.303282 0.30355 0.290118 0.292213 0.299463 0.293163 0.290018 0.284052 0.283386 0.27527 0.279138 0.281822
0.295477 0.288824 0.296395 0.378747 0.339517 0.377071 0.377071 1 0.947978 0.325235 0.30939 0.31049 0.304688 0.303697 0.315162 0.391836 0.379488 0.381668 0.345426 0.346367 0.345426 0.352735 0.351783 0.345913 0.351077 0.351077 0.374176 0.378193 0.374642 0.380606 0.376689 0.391629 0.392109 0.375286 0.334226 0.319814 0.361107 0.361724 0.357417 0.359771 0.35833 0.320538 0.189328 0.334128 0.336951 0.214063 0.362126 0.236412 0.36557 0.238189 0.363559 0.366822 0.27925 0.362576 0.363057 0.370117 0.367681 0.377304 0.378231 0.3386 0.326668 0.317383 0.324748 0.383579 0.381522 0.379057 0.378869 0.379902 0.375956 0.364336 0.351186 0.357185 0.353922 0.378853 0.338639 0.363104 0.346707 0.358812 0.35396 0.372073 0.381044 0.367357 0.373984 0.378353 0.379362 0.3693 0.367923 0.369062 0.363013 0.322125 0.32811 0.323993 0.322311 0.317912 0.368971 0.331639 0.330817 0.333342 0.223549 0.24495 0.363603 0.362063 0.368367 0.384907 0.371054 0.363603 0.362063 0.368367 0.384907 0.371054 0.378747 0.37263 0.342024 0.365665 0.363307 0.336966 0.332371 0.367592 0.381411 0.37984 0.349602 0.38149 0.383229 0.356805 0.380509 0.274655 0.323824 0.317516 0.345648 0.372501 0.371023 0.378707 0.374683 0.3724 0.367681 0.365591 0.377229 0.354911 0.373595 0.392415 0.393277 0.386389 0.391572 0.390588 0.367551 0.382299 0.390123 0.380412 0.386815 0.384413 0.382474 0.382497 0.385507 0.377375
0.301975 0.29561 0.303236 0.388127 0.348403 0.383361 0.383361 0.959651 1 0.330455 0.313509 0.316382 0.305231 0.311255 0.321502 0.400893 0.388332 0.389953 0.349752 0.353958 0.349752 0.360823 0.360921 0.351841 0.357736 0.357736 0.382226 0.385697 0.381758 0.387474 0.383973 0.399738 0.400444 0.379578 0.341758 0.325588 0.368337 0.369086 0.364756 0.367159 0.365275 0.325818 0.197137 0.339453 0.341576 0.218243 0.370443 0.243696 0.372431 0.24409 0.371327 0.376882 0.284672 0.370909 0.371981 0.377166 0.374149 0.384488 0.386664 0.3476 0.334502 0.323716 0.332312 0.393158 0.391291 0.388821 0.388502 0.389979 0.381777 0.37263 0.356491 0.363476 0.361447 0.387133 0.346701 0.373052 0.354575 0.367273 0.36238 0.379683 0.389305 0.373535 0.380523 0.385997 0.383645 0.372995 0.37469 0.37311 0.369001 0.330116 0.336209 0.331773 0.329212 0.322985 0.377917 0.339395 0.337466 0.340878 0.228866 0.250644 0.370204 0.369853 0.375477 0.390437 0.380105 0.370204 0.369853 0.375477 0.390437 0.380105 0.388127 0.380444 0.34706 0.369606 0.367929 0.344634 0.339022 0.37325 0.389154 0.38873 0.358038 0.390052 0.391015 0.363395 0.387168 0.281397 0.329668 0.324211 0.352274 0.380001 0.380803 0.386221 0.38456 0.3799 0.374149 0.371302 0.384412 0.362171 0.38323 0.400404 0.402382 0.395517 0.399774 0.399904 0.377333 0.392469 0.397925 0.388815 0.394693 0.391566 0.388671 0.389174 0.39106 0.383589
0.261622 0.2559 0.263214 0.277203 0.269421 0.296012 0.296012 0.304396 0.304742 1 0.256808 0.251809 0.248416 0.253091 0.254599 0.292703 0.295195 0.287996 0.258867 0.266832 0.258867 0.272563 0.28956 0.265222 0.282083 0.282083 0.279991 0.283054 0.27439 0.280636 0.2802 0.306782 0.310376 0.279966 0.260971 0.238991 0.272626 0.27253 0.26888 0.272217 0.27127 0.264999 0.178961 0.255086 0.264989 0.192692 0.29038 0.217731 0.293318 0.21669 0.28518 0.278201 0.218406 0.272363 0.269841 0.279975 0.292408 0.285969 0.305427 0.286285 0.258753 0.261044 0.256655 0.275858 0.276931 0.281296 0.277207 0.277401 0.284124 0.277516 0.259162 0.267758 0.2613 0.277764 0.264457 0.280257 0.276505 0.287722 0.274068 0.289695 0.29045 0.284941 0.291179 0.281614 0.282243 0.275641 0.27205 0.27455 0.278155 0.258645 0.263152 0.245869 0.2619 0.263942 0.287142 0.259168 0.26443 0.261602 0.215497 0.209945 0.284797 0.278266 0.285984 0.292198 0.278065 0.284797 0.278266 0.285984 0.292198 0.278065 0.277203 0.280764 0.276327 0.275947 0.278144 0.273827 0.267963 0.275636 0.288005 0.280076 0.295233 0.280476 0.281257 0.282907 0.296053 0.233346 0.238423 0.259947 0.265544 0.281583 0.288063 0.285033 0.286676 0.282096 0.292408 0.291125 0.285899 0.285043 0.292249 0.303151 0.301561 0.305037 0.304569 0.310856 0.282681 0.286337 0.289015 0.287795 0.289539 0.283563 0.280116 0.285612 0.282515 0.286118
